layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,test_coverage,test_precision,test_recall,kind
2,"[11, 8, 6, 4, 2]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '<=', 9.114420890808105, '>', 38.107954025268555]",7,0,1.1400651465798046,100,2.147239263803681,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[11, 8, 6, 11, 6, 1, 4, 2, 1]","['>', 26.7747220993042, '>', 37.07167434692383, '<=', 114.5663070678711, '<=', 35.79447364807129, '<=', 92.20686721801758, '<=', 79.22483825683594, '<=', 24.739768028259277, '<=', 44.58608627319336, '<=', 78.03909683227539]",7,0,1.1400651465798046,100,2.147239263803681,1.948051948051948,33.33333333333333,1.0526315789473684,correct
2,"[11, 8, 6, 4, 10, 8, 2, 10, 10]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '>', 9.114420890808105, '>', 54.698049545288086, '>', 15.276994705200195, '<=', 43.164710998535156, '>', 62.39093780517578, '<=', 67.11840057373047]",6,0,0.9771986970684038,100,1.8404907975460123,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[11, 6, 4, 2, 2, 6, 1, 2]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '<=', 39.36651802062988, '>', 63.84084701538086, '<=', 68.41350173950195, '>', 30.704169273376465]",5,0,0.8143322475570033,100,1.5337423312883436,0.0,0.0,0.0,correct
2,"[11, 6, 6, 2, 11, 2, 6, 8]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '<=', 26.68839740753174, '<=', 15.24663496017456, '>', 6.331380844116211, '>', 126.14929962158203, '>', 81.1358757019043]",5,0,0.8143322475570033,100,1.5337423312883436,0.0,0.0,0.0,correct
2,"[11, 6, 6, 2, 10, 2, 10, 1, 8]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '>', 26.68839740753174, '>', 65.25757598876953, '<=', 39.59333419799805, '<=', 81.90475463867188, '<=', 107.93456268310547, '>', 53.92665672302246]",5,0,0.8143322475570033,100,1.5337423312883436,1.2987012987012987,100.0,2.1052631578947367,correct
2,"[11, 8, 6, 3, 4, 4, 4]","['>', 26.7747220993042, '<=', 37.07167434692383, '<=', 47.904945373535156, '<=', 0.26570093631744385, '>', 11.84646224975586, '>', 23.642159461975098, '<=', 26.296066284179688]",5,0,0.8143322475570033,100,1.5337423312883436,1.2987012987012987,100.0,2.1052631578947367,correct
2,"[11, 8, 6, 3, 2, 2]","['>', 26.7747220993042, '<=', 37.07167434692383, '<=', 47.904945373535156, '>', 0.26570093631744385, '>', 44.90311050415039, '>', 47.51456260681152]",5,0,0.8143322475570033,100,1.5337423312883436,0.6493506493506493,0.0,0.0,correct
2,"[11, 6, 6, 2, 10, 2, 6, 10]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '>', 26.68839740753174, '<=', 65.25757598876953, '<=', 29.119855880737305, '<=', 85.6171875, '>', 56.08058547973633]",4,0,0.6514657980456027,100,1.2269938650306749,1.2987012987012987,100.0,2.1052631578947367,correct
2,"[11, 6, 6, 2, 10, 2, 10, 1, 8, 11, 2]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '>', 26.68839740753174, '>', 65.25757598876953, '<=', 39.59333419799805, '<=', 81.90475463867188, '<=', 107.93456268310547, '<=', 53.92665672302246, '>', 22.313724517822266, '>', 33.66776466369629]",4,0,0.6514657980456027,100,1.2269938650306749,0.0,0.0,0.0,correct
2,"[11, 8, 6, 4, 2, 10]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '<=', 9.114420890808105, '<=', 38.107954025268555, '<=', 18.25928020477295]",4,0,0.6514657980456027,100,1.2269938650306749,0.6493506493506493,0.0,0.0,correct
2,"[11, 8, 6, 4, 10, 8, 2, 11, 3, 6, 2]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '>', 9.114420890808105, '>', 54.698049545288086, '>', 15.276994705200195, '>', 43.164710998535156, '>', 34.87598991394043, '>', 0.16639432311058044, '<=', 62.802574157714844, '>', 45.45645332336426]",4,0,0.6514657980456027,100,1.2269938650306749,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[11, 6, 4, 6, 4, 11, 6, 8, 4, 6, 2]","['<=', 26.7747220993042, '<=', 76.14443969726562, '>', 9.947811126708984, '<=', 40.3225212097168, '>', 10.986247062683105, '<=', 24.787850379943848, '>', 28.770124435424805, '>', 16.324870109558105, '<=', 16.607929229736328, '<=', 32.52785110473633, '<=', 35.91515350341797]",3,0,0.4885993485342019,100,0.9202453987730062,0.6493506493506493,0.0,0.0,correct
2,"[11, 6, 4, 6, 4, 11, 6, 8, 4, 4, 2, 4, 10]","['<=', 26.7747220993042, '<=', 76.14443969726562, '>', 9.947811126708984, '<=', 40.3225212097168, '>', 10.986247062683105, '<=', 24.787850379943848, '>', 28.770124435424805, '>', 16.324870109558105, '>', 16.607929229736328, '<=', 24.41388511657715, '<=', 43.82393836975098, '<=', 18.286951065063477, '<=', 48.399620056152344]",3,0,0.4885993485342019,100,0.9202453987730062,0.6493506493506493,0.0,0.0,correct
2,"[11, 6, 6, 2, 10, 2, 10]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '>', 26.68839740753174, '>', 65.25757598876953, '<=', 39.59333419799805, '>', 81.90475463867188]",3,0,0.4885993485342019,100,0.9202453987730062,0.6493506493506493,0.0,0.0,correct
2,"[11, 6, 6, 2, 10, 2, 2]","['<=', 26.7747220993042, '>', 76.14443969726562, '>', 143.8001708984375, '<=', 13.117015361785889, '>', 80.46196746826172, '<=', 10.758775234222412, '>', 7.0128493309021]",3,0,0.4885993485342019,100,0.9202453987730062,0.0,0.0,0.0,correct
2,"[11, 8, 6, 4, 2, 10, 11, 6, 6, 8]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '<=', 9.114420890808105, '<=', 38.107954025268555, '>', 18.25928020477295, '<=', 36.5457763671875, '<=', 86.56149673461914, '<=', 68.88960266113281, '>', 22.348376274108887]",3,0,0.4885993485342019,100,0.9202453987730062,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[11, 8, 6, 4, 10, 8, 2, 10, 2]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '>', 9.114420890808105, '>', 54.698049545288086, '>', 15.276994705200195, '<=', 43.164710998535156, '<=', 62.39093780517578, '<=', 37.59074783325195]",3,0,0.4885993485342019,100,0.9202453987730062,0.6493506493506493,0.0,0.0,correct
2,"[11, 8, 6, 4, 10, 8, 2, 11, 3, 6, 8, 11]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '>', 9.114420890808105, '>', 54.698049545288086, '>', 15.276994705200195, '>', 43.164710998535156, '>', 34.87598991394043, '>', 0.16639432311058044, '>', 62.802574157714844, '>', 33.42548370361328, '>', 48.55331802368164]",3,0,0.4885993485342019,100,0.9202453987730062,0.0,0.0,0.0,correct
2,"[11, 6, 4, 2, 2, 6, 1, 2, 6, 1]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '<=', 39.36651802062988, '>', 63.84084701538086, '<=', 68.41350173950195, '<=', 30.704169273376465, '<=', 66.92693328857422, '>', 66.76449203491211]",2,0,0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0,correct
2,"[11, 6, 4, 2, 2, 8, 11, 8]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '>', 39.36651802062988, '<=', 26.382761001586914, '>', 24.09218978881836, '>', 9.218525409698486]",2,0,0.32573289902280134,100,0.6134969325153374,1.2987012987012987,100.0,2.1052631578947367,correct
2,"[11, 6, 4, 2, 2, 8, 8]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '>', 39.36651802062988, '>', 26.382761001586914, '>', 34.5648136138916]",2,0,0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0,correct
2,"[11, 6, 6, 2, 10, 2, 10, 1, 8, 2, 10]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '>', 26.68839740753174, '>', 65.25757598876953, '<=', 39.59333419799805, '<=', 81.90475463867188, '>', 107.93456268310547, '>', 69.16336059570312, '<=', 32.54427909851074, '>', 77.53469848632812]",2,0,0.32573289902280134,100,0.6134969325153374,0.6493506493506493,0.0,0.0,correct
2,"[11, 6, 6, 2, 10, 2, 2, 2]","['<=', 26.7747220993042, '>', 76.14443969726562, '>', 143.8001708984375, '<=', 13.117015361785889, '>', 80.46196746826172, '<=', 10.758775234222412, '<=', 7.0128493309021, '<=', 1.3268277645111084]",2,0,0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0,correct
2,"[11, 8, 6, 4, 2, 10, 11, 11]","['>', 26.7747220993042, '<=', 37.07167434692383, '>', 47.904945373535156, '<=', 9.114420890808105, '<=', 38.107954025268555, '>', 18.25928020477295, '>', 36.5457763671875, '<=', 45.082929611206055]",2,0,0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0,correct
2,"[11, 8, 6, 11, 6, 1, 10, 2]","['>', 26.7747220993042, '>', 37.07167434692383, '<=', 114.5663070678711, '<=', 35.79447364807129, '<=', 92.20686721801758, '>', 79.22483825683594, '>', 69.50372314453125, '<=', 40.57773017883301]",2,0,0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0,correct
2,"[11, 8, 6, 11, 8, 11, 3, 2, 4]","['>', 26.7747220993042, '>', 37.07167434692383, '<=', 114.5663070678711, '>', 35.79447364807129, '>', 37.57558059692383, '<=', 53.082693099975586, '<=', 0.019523650407791138, '<=', 32.831308364868164, '>', 24.371668815612793]",2,0,0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0,correct
2,"[11, 6, 4, 2, 2, 6, 1, 2, 6, 1, 1]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '<=', 39.36651802062988, '>', 63.84084701538086, '<=', 68.41350173950195, '<=', 30.704169273376465, '<=', 66.92693328857422, '<=', 66.76449203491211, '<=', 59.72390556335449]",1,0,0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0,correct
2,"[11, 6, 4, 2, 6]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '>', 48.31953811645508, '>', 48.04223823547363]",1,0,0.16286644951140067,100,0.3067484662576687,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[11, 6, 4, 6, 4, 11, 6, 8, 3]","['<=', 26.7747220993042, '<=', 76.14443969726562, '>', 9.947811126708984, '<=', 40.3225212097168, '>', 10.986247062683105, '<=', 24.787850379943848, '>', 28.770124435424805, '<=', 16.324870109558105, '>', 8.919773817062378]",1,0,0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0,correct
2,"[11, 6, 4, 6, 4, 11, 6, 8, 4, 4, 6]","['<=', 26.7747220993042, '<=', 76.14443969726562, '>', 9.947811126708984, '<=', 40.3225212097168, '>', 10.986247062683105, '<=', 24.787850379943848, '>', 28.770124435424805, '>', 16.324870109558105, '>', 16.607929229736328, '>', 24.41388511657715, '>', 38.011281967163086]",1,0,0.16286644951140067,100,0.3067484662576687,0.6493506493506493,0.0,0.0,correct
2,"[11, 6, 6, 2, 11, 11, 10, 11, 6]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '<=', 26.68839740753174, '>', 15.24663496017456, '>', 15.898059844970703, '<=', 59.139055252075195, '>', 22.23664379119873, '<=', 94.04743194580078]",1,0,0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0,correct
